,REGION,LAT,LONG,NAMA_UNIV,KODE,PROGRAM_STUDI,DAYA_TAMPUNG__2020,PEMINAT__2019,JENIS_PORTOFOLIO,DAYA_TAMPUNG__2019,PEMINAT__2018,PEMINAT__2017,PEMINAT__2016,DAYA_TAMPUNG__2018,DAYA_TAMPUNG__2017,DAYA_TAMPUNG__2016,REGIOn,AKREDITASI_PT,PEMINAT__2020,,,
82,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121183,TEKNIK MATERIAL,55,103,Tidak Ada,55,NA,NA,NA,NA,NA,NA,SUMATERA,B,135,1121183,0,0
83,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122012,MANAJEMEN,190,353,Tidak Ada,143,1133,1184,1150,151,140,200,SUMATERA,B,345,1122012,0,0
84,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122027,AKUNTANSI,137,247,Tidak Ada,123,676,798,693,77,100,120,SUMATERA,B,239,1122027,0,0
85,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122035,ILMU EKONOMI & STUDI PEMBANGUNAN,131,265,Tidak Ada,155,394,454,411,149,124,120,SUMATERA,B,257,1122035,0,0
86,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122043,ADMINISTRASI PUBLIK,181,303,Tidak Ada,135,745,783,702,182,150,120,SUMATERA,B,325,1122043,0,0
87,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122051,SOSIOLOGI,98,202,Tidak Ada,113,264,244,258,95,70,60,SUMATERA,B,205,1122051,0,0
88,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122066,ILMU POLITIK,96,92,Tidak Ada,97,224,221,127,101,100,60,SUMATERA,B,141,1122066,0,0
89,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122074,ANTROPOLOGI,79,82,Tidak Ada,72,160,98,101,64,64,40,SUMATERA,B,112,1122074,0,0
90,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122082,ILMU KOMUNIKASI,186,272,Tidak Ada,161,668,575,416,140,115,100,SUMATERA,B,398,1122082,0,0
91,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122097,HUKUM,257,273,Tidak Ada,218,711,688,563,256,200,160,SUMATERA,B,347,1122097,0,0
92,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122101,EKONOMI SYARIAH,101,151,Tidak Ada,86,485,481,370,92,75,80,SUMATERA,B,209,1122101,0,0
93,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122116,PSIKOLOGI,92,162,Tidak Ada,74,505,458,339,60,60,80,SUMATERA,B,245,1122116,0,0
94,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122124,PENDIDIKAN BAHASA INDONESIA,61,86,Tidak Ada,42,237,280,264,55,40,60,SUMATERA,B,73,1122124,0,0
95,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122132,ADMINISTRASI BISNIS,71,117,Tidak Ada,56,189,NA,NA,53,NA,NA,SUMATERA,B,,1122132,0,0
96,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122147,KEWIRUSAHAAN,44,0,Tidak Ada,NA,NA,NA,NA,NA,NA,NA,SUMATERA,B,32,1122147,0,0
97,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131011,TEKNIK SIPIL,66,148,Tidak Ada,60,262,269,227,62,55,70,SUMATERA,,166,1131011,0,0
98,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131026,TEKNIK MESIN,55,56,Tidak Ada,40,124,153,121,55,38,51,SUMATERA,,58,1131026,0,0
99,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131034,TEKNIK INDUSTRI,56,84,Tidak Ada,40,138,161,156,53,42,54,SUMATERA,,75,1131034,0,0
100,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131042,AGRIBISNIS,52,108,Tidak Ada,60,241,294,268,72,55,62,SUMATERA,,95,1131042,0,0
101,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131057,AGROTEKNOLOGI,69,61,Tidak Ada,60,122,158,165,79,57,64,SUMATERA,,40,1131057,0,0
102,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131065,PERIKANAN,88,81,Tidak Ada,60,225,259,212,54,41,48,SUMATERA,,88,1131065,0,0
103,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131073,KESEHATAN MASYARAKAT,64,235,Tidak Ada,80,400,412,344,72,55,57,SUMATERA,,263,1131073,0,0
104,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131081,AKUAKULTUR,46,31,Tidak Ada,30,38,46,54,38,34,42,SUMATERA,,23,1131081,0,0
105,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131096,SUMBER DAYA AKUATIK,53,42,Tidak Ada,30,23,40,45,23,34,42,SUMATERA,,31,1131096,0,0
106,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131107,TEKNOLOGI HASIL PERTANIAN,59,49,Tidak Ada,45,168,NA,NA,40,NA,NA,SUMATERA,,,1131107,0,0
107,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131115,ILMU KELAUTAN,46,41,Tidak Ada,30,73,NA,NA,58,NA,NA,SUMATERA,,,1131115,0,0
108,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131123,TEKNOLOGI INFORMASI,58,0,Tidak Ada,NA,NA,NA,NA,NA,NA,NA,SUMATERA,,32,1131123,0,0
109,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131131,GIZI,32,0,Tidak Ada,NA,NA,NA,NA,NA,NA,NA,SUMATERA,,32,1131131,0,0
110,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132014,EKONOMI PEMBANGUNAN,96,97,Tidak Ada,60,149,206,288,68,48,61,SUMATERA,,28,1132014,0,0
111,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132022,ILMU ADMINISTRASI NEGARA,48,161,Tidak Ada,70,314,374,403,72,55,61,SUMATERA,,117,1132022,0,0
112,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132037,SOSIOLOGI,58,112,Tidak Ada,60,151,200,177,54,42,53,SUMATERA,,99,1132037,0,0
113,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132045,ILMU KOMUNIKASI,65,135,Tidak Ada,60,249,194,198,54,42,52,SUMATERA,,161,1132045,0,0
114,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132053,MANAJEMEN,48,147,Tidak Ada,70,323,411,435,58,46,70,SUMATERA,,91,1132053,0,0
115,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132061,AKUNTANSI,57,96,Tidak Ada,60,230,273,NA,60,46,NA,SUMATERA,,,1132061,0,0
116,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132076,ILMU HUKUM,75,128,Tidak Ada,60,187,200,NA,61,49,NA,SUMATERA,,,1132076,0,0
117,SUMATERA,4.4577459,97.9692964,UNIVERSITAS SAMUDRA,1141013,AGROTEKNOLOGI,43,113,Tidak Ada,40,202,170,168,31,20,18,SUMATERA,B,130,1141013,0,0
118,SUMATERA,4.4577459,97.9692964,UNIVERSITAS SAMUDRA,1141021,AGRIBISNIS,35,159,Tidak Ada,38,301,246,241,34,24,20,SUMATERA,B,189,1141021,0,0
119,SUMATERA,4.4577459,97.9692964,UNIVERSITAS SAMUDRA,1141036,BUDIDAYA PERAIRAN,59,61,Tidak Ada,47,97,107,107,44,29,51,SUMATERA,B,56,1141036,0,0
120,SUMATERA,4.4577459,97.9692964,UNIVERSITAS SAMUDRA,1141044,PENDIDIKAN MATEMATIKA,18,49,Tidak Ada,21,58,48,65,16,19,19,SUMATERA,B,46,1141044,0,0
